slug,label,symbol,current_mode,recommended_mode,decision,reason,6m_return_pct,6m_profit_factor,6m_win_rate_pct,6m_max_drawdown_pct,6m_trades,1y_return_pct,1y_profit_factor,1y_win_rate_pct,1y_max_drawdown_pct,1y_trades,3y_return_pct,3y_profit_factor,3y_win_rate_pct,3y_max_drawdown_pct,3y_trades,5y_return_pct,5y_profit_factor,5y_win_rate_pct,5y_max_drawdown_pct,5y_trades
us100-selective-orb-v3,US100 Selective ORB V3,USTEC,standard,standard,watch,"Only 34 trades exist in the 5Y view; retain as low-frequency evidence, not as a high-capacity core.",-0.74,0.74,66.67,3.7,3,1.75,1.6,80.0,3.68,5,6.11,2.17,55.0,3.66,20,17.2,3.16,67.65,3.67,34
asia-breakout,Asia Breakout,XAUUSD,standard,standard,keep,Passes the current consistency review.,4.93,1.43,44.0,5.17,25,29.3,1.72,45.83,6.2,72,45.52,1.57,47.33,6.27,131,45.5,1.4,43.85,6.27,187
dmc-current-xau,DMC Current XAU,XAUUSD,standard,standard,retained by user,Explicitly retained by the user after the portfolio audit; continue monitoring its weak 5Y PF and drawdown.,5.9,1.19,41.38,8.74,58,12.08,1.18,40.52,9.96,116,46.72,1.27,40.8,12.49,250,11.58,1.06,37.97,29.05,345
dmc-fresh-reaction-xau,DMC Fresh Reaction XAU,XAUUSD,standard,standard,keep,Passes the current consistency review.,-0.31,0.97,33.33,4.87,15,6.88,1.9,46.67,3.11,15,36.18,2.49,60.0,4.08,55,21.68,1.53,49.41,15.18,85
dmc-fresh-reaction-us100,DMC Fresh Reaction US100,USTEC,standard,standard,keep,Passes the current consistency review.,1.25,1.41,50.0,2.35,6,3.68,1.88,66.67,2.99,12,17.94,1.99,65.22,4.39,46,14.23,1.39,58.54,7.57,82
ema3,EMA3,XAUUSD,safe,safe,keep,Passes the current consistency review.,-0.3,0.96,43.75,3.83,16,16.27,2.71,70.27,3.33,37,33.56,2.3,64.94,3.95,77,30.93,1.86,60.78,5.03,102
xau-weakness,XAU Weakness,XAUUSD,safe,safe,keep,Passes the current consistency review.,3.61,1.37,38.89,5.73,18,56.93,1.97,42.35,5.76,85,127.19,1.88,43.09,6.82,181,122.15,1.65,38.93,14.4,244
nasdaq-overnight,Nasdaq Overnight,USTEC,standard,standard,keep,Passes the current consistency review.,5.88,1.63,62.07,2.38,58,8.28,1.8,62.5,2.4,72,7.77,1.29,55.62,4.86,178,8.4,1.28,56.28,4.83,199
nasdaq-5m-candle-momentum,Nasdaq 5M Candle Momentum,USTEC,standard,standard,watch,Large historical return but thin edge: PF 1.12 over 5Y and 1.18 over 3Y.,-0.18,1.0,37.21,11.25,129,42.61,1.23,41.57,12.63,255,111.87,1.18,40.68,12.63,762,105.74,1.12,38.99,12.63,1272
sell-nasdaq-15min,Sell Nasdaq 15min,USTEC,standard,dynamic,keep,Passes the current consistency review.,-1.65,0.85,42.86,6.07,21,13.28,1.44,46.15,7.81,52,94.91,1.78,44.03,7.82,159,106.38,1.52,41.42,17.87,268
usdjpy-london-open-momentum,USDJPY London Open Momentum,USDJPY,standard,standard,keep,Passes the current consistency review.,7.4,1.36,53.03,10.14,66,12.72,1.33,51.85,10.13,135,77.92,1.44,52.67,12.0,412,178.41,1.46,53.97,12.12,693
xau-squeeze-momentum-standard,XAU Squeeze Momentum Standard,XAUUSD,safe,safe,watch,Safe mode has strong PF/DD but only 48 trades in 5Y and no trades in the latest six months.,0.0,0.0,0.0,0.0,0,6.26,3.27,64.29,1.58,14,22.6,3.89,65.79,3.36,38,23.0,3.16,60.42,3.35,48
news-pulse-xau,News Pulse XAU,XAUUSD,standard,standard,watch,"Mandatory News Pulse exposure retained at fixed risk, but the release-verified schedule ledger is short (9 trades).",34.71,10.66,58.82,1.77,17,55.04,9.0,63.64,1.79,33,55.54,9.03,64.71,1.79,34,55.54,9.03,64.71,1.79,34
gold-news-v9-direction,Gold News V9 Direction,XAUUSD,standard,standard,keep,Passes the current consistency review.,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0
news-pulse-xag,News Pulse XAG,XAGUSD,standard,standard,watch,"Mandatory News Pulse exposure retained at fixed risk, but the release-verified schedule ledger is short (9 trades).",90.72,12.82,60.0,2.47,20,221.04,13.46,62.16,2.52,37,221.19,13.41,63.16,2.52,38,221.19,13.41,63.16,2.52,38
news-pulse-btc,News Pulse BTC,BTCUSD,standard,standard,watch,"Mandatory News Pulse exposure retained at fixed risk; the complete three-year native MT5 sample has 125 trades, but event execution remains high-slippage risk.",37.13,9.33,78.26,2.84,23,111.46,9.42,75.0,2.84,44,984.87,9.33,76.8,3.41,125,984.87,9.33,76.8,3.41,125
xau-rsi-vwap,XAU RSI VWAP,XAUUSD,standard,standard,keep,Passes the current consistency review.,2.28,1.31,69.7,2.75,33,4.07,1.38,71.74,3.5,46,22.42,1.74,76.87,2.92,134,26.11,1.37,73.46,5.34,260
xau-trend-progression,XAU Trend Progression,XAUUSD,standard,standard,keep,Passes the current consistency review.,1.27,1.29,40.0,3.32,10,16.85,2.85,60.0,3.05,25,72.47,2.72,62.22,5.92,90,83.9,2.27,58.7,5.54,138
xau-elliott-wave-1-2-3,XAU Elliott Wave 1-2-3,XAUUSD,standard,standard,keep,Passes the current consistency review.,7.39,1.9,40.0,3.98,15,23.82,3.15,54.17,3.77,24,69.85,2.47,45.71,6.83,70,72.3,1.88,37.93,10.59,116
xau-slow-trend,XAU Slow Trend,XAUUSD,standard,standard,watch,Strong 3Y/5Y evidence but last six months are -7.13% with PF 0.48.,-7.13,0.48,13.04,9.16,23,11.5,1.43,23.08,13.12,39,122.85,1.78,24.48,12.38,143,86.18,1.42,19.18,12.63,245
xau-regime-switch,XAU Regime Switch,XAUUSD,standard,standard,watch,Strong long history but last six months are -4.95% with PF 0.43.,-4.95,0.43,13.33,6.25,15,29.28,2.09,30.56,8.43,36,88.3,1.93,30.77,10.39,117,96.19,1.59,27.96,10.21,211
us100-month-end-flow,US100 Month End Flow,USTEC,standard,standard,keep,Passes the current consistency review.,10.47,2.58,52.94,3.5,17,5.41,1.33,47.06,5.75,34,36.62,1.61,50.0,9.12,104,37.84,1.37,44.57,9.13,175
