slug,label,symbol,timeframe,mode,status,cached_trades,cache_from,cache_to,path
us100-orb-new-york-m30,US100 ORB New York M30,USTEC,M30,standard,loaded,63,2023-09-05,2026-09-05,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\EA store\data\evidence-cache\v1\products\us100-orb-new-york-m30\standard\3y.trades.json
us100-h1-orb-13utc,US100 H1 ORB 13UTC,USTEC,M15,standard,loaded,181,2023-09-05,2026-09-05,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\EA store\data\evidence-cache\v1\products\us100-h1-orb-13utc\standard\3y.trades.json
us100-selective-orb-v3,US100 Selective ORB V3,USTEC,M5,standard,loaded,20,2023-09-05,2026-09-05,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\EA store\data\evidence-cache\v1\products\us100-selective-orb-v3\standard\3y.trades.json
asia-breakout,Asia Breakout,XAUUSD,H1,standard,loaded,131,2023-09-05,2026-09-05,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\EA store\data\evidence-cache\v1\products\asia-breakout\standard\3y.trades.json
ema3,EMA3,XAUUSD,H4,safe,loaded,77,2023-09-05,2026-09-05,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\EA store\data\evidence-cache\v1\products\ema3\safe\3y.trades.json
xau-weakness,XAU Weakness,XAUUSD,M30,safe,loaded,181,2023-09-05,2026-09-05,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\EA store\data\evidence-cache\v1\products\xau-weakness\safe\3y.trades.json
nasdaq-overnight,Nasdaq Overnight,USTEC,M1,standard,loaded,178,2023-09-05,2026-09-05,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\EA store\data\evidence-cache\v1\products\nasdaq-overnight\standard\3y.trades.json
nasdaq-5m-candle-momentum,Nasdaq 5M Candle Momentum,USTEC,M5,standard,loaded,762,2023-09-07,2026-09-07,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\EA store\data\evidence-cache\v1\products\nasdaq-5m-candle-momentum\standard\3y.trades.json
news-pulse-xau,News Pulse XAU,XAUUSD,M1,standard,loaded,34,2023-09-05,2026-09-05,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\EA store\data\evidence-cache\v1\products\news-pulse-xau\standard\3y.trades.json
news-pulse-xag,News Pulse XAG,XAGUSD,M1,standard,loaded,38,2023-09-05,2026-09-05,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\EA store\data\evidence-cache\v1\products\news-pulse-xag\standard\3y.trades.json
news-pulse-eurusd,News Pulse EURUSD,EURUSD,M1,standard,loaded,35,2023-09-05,2026-09-05,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\EA store\data\evidence-cache\v1\products\news-pulse-eurusd\standard\3y.trades.json
xau-rsi-vwap,XAU RSI VWAP,XAUUSD,H1,standard,loaded,134,2023-09-05,2026-09-05,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\EA store\data\evidence-cache\v1\products\xau-rsi-vwap\standard\3y.trades.json
xau-trend-progression,XAU Trend Progression,XAUUSD,H4,standard,loaded,90,2023-09-05,2026-09-05,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\EA store\data\evidence-cache\v1\products\xau-trend-progression\standard\3y.trades.json
xau-elliott-wave-1-2-3,XAU Elliott Wave 1-2-3,XAUUSD,H4,standard,loaded,70,2023-09-05,2026-09-05,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\EA store\data\evidence-cache\v1\products\xau-elliott-wave-1-2-3\standard\3y.trades.json
xau-slow-trend,XAU Slow Trend,XAUUSD,H4,standard,loaded,143,2023-09-05,2026-09-05,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\EA store\data\evidence-cache\v1\products\xau-slow-trend\standard\3y.trades.json
xau-regime-switch,XAU Regime Switch,XAUUSD,M5,standard,loaded,117,2023-09-01,2026-09-01,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\EA store\data\evidence-cache\v1\products\xau-regime-switch\standard\3y.trades.json
xag-session-vwap-snapback,XAG Session VWAP Snapback,XAGUSD,M30,standard,loaded,37,2023-08-31,2026-08-31,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\EA store\data\evidence-cache\v1\products\xag-session-vwap-snapback\standard\3y.trades.json
us100-month-end-flow,US100 Month End Flow,USTEC,M30,standard,loaded,104,2023-08-31,2026-08-31,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\EA store\data\evidence-cache\v1\products\us100-month-end-flow\standard\3y.trades.json
