case_id,stage,asset,symbol,period,direction,geometry,entry_offset,stop_distance,trail_distance,management,buy,sell,dynamic,close_seconds,risk_per_enabled_side_pct,from,to,execution_mode,report,initial_balance,final_balance,net_profit,return_pct,gross_profit,gross_loss,profit_factor,win_rate_pct,wins,losses,trades,max_drawdown_amount,max_drawdown_pct,sharpe_ratio,recovery_factor,history_quality_pct,bars,selection_score
xagusd__two-sided__tight__dynamic60,Calibration,xagusd,XAGUSD,M1,two-sided,tight,0.08,0.08,0.2,dynamic60,True,True,True,60,1,2025.09.01,2026.05.31,1,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\News Pulse Direction Research 2026-09-05\Backtest Reports\Calibration\xagusd__two-sided__tight__dynamic60.htm,10000.0,23051.05,13051.05,130.5105,14874.3,-1823.25,8.16,55.56,15,12,27,900.01,3.85,290.12,14.5,99.0,262083,139.58149820540248
xagusd__two-sided__wide__dynamic60,Calibration,xagusd,XAGUSD,M1,two-sided,wide,0.12,0.12,0.3,dynamic60,True,True,True,60,1,2025.09.01,2026.05.31,1,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\News Pulse Direction Research 2026-09-05\Backtest Reports\Calibration\xagusd__two-sided__wide__dynamic60.htm,10000.0,15957.01,5957.01,59.570100000000004,7561.8,-1604.79,4.71,57.69,15,11,26,751.63,4.5,230.83,7.93,99.0,262083,68.04777729723632
ustec__buy-only__tight__dynamic60,Calibration,ustec,USTEC,M1,buy-only,tight,30,30,75,dynamic60,True,False,True,60,1,2025.09.01,2026.05.31,1,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\News Pulse Direction Research 2026-09-05\Backtest Reports\Calibration\ustec__buy-only__tight__dynamic60.htm,10000.0,10915.93,915.93,9.1593,1394.94,-479.01,2.91,60.0,9,6,15,370.25,3.28,60.09,2.47,100.0,263232,16.651322205056783
ustec__buy-only__wide__dynamic60,Calibration,ustec,USTEC,M1,buy-only,wide,60,60,150,dynamic60,True,False,True,60,1,2025.09.01,2026.05.31,1,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\News Pulse Direction Research 2026-09-05\Backtest Reports\Calibration\ustec__buy-only__wide__dynamic60.htm,10000.0,10150.95,150.95,1.5094999999999998,274.12,-123.17,2.23,60.0,6,4,10,80.39,0.79,6.05,1.88,100.0,263232,4.392944679663241
ustec__sell-only__tight__dynamic60,Calibration,ustec,USTEC,M1,sell-only,tight,30,30,75,dynamic60,False,True,True,60,1,2025.09.01,2026.05.31,1,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\News Pulse Direction Research 2026-09-05\Backtest Reports\Calibration\ustec__sell-only__tight__dynamic60.htm,10000.0,10135.67,135.67,1.3567,255.97,-120.3,2.13,25.0,1,3,4,250.42,2.45,0.26,0.54,100.0,263232,-1000000000.0
ustec__sell-only__wide__dynamic60,Calibration,ustec,USTEC,M1,sell-only,wide,60,60,150,dynamic60,False,True,True,60,1,2025.09.01,2026.05.31,1,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\News Pulse Direction Research 2026-09-05\Backtest Reports\Calibration\ustec__sell-only__wide__dynamic60.htm,10000.0,9974.02,-25.98,-0.25980000000000003,76.9,-102.88,0.75,50.0,1,1,2,173.62,1.72,-0.05,-0.15,100.0,263232,-1000000000.0
ustec__two-sided__tight__dynamic60,Calibration,ustec,USTEC,M1,two-sided,tight,30,30,75,dynamic60,True,True,True,60,1,2025.09.01,2026.05.31,1,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\News Pulse Direction Research 2026-09-05\Backtest Reports\Calibration\ustec__two-sided__tight__dynamic60.htm,10000.0,11063.92,1063.92,10.6392,1682.14,-618.22,2.72,52.63,10,9,19,494.86,4.28,130.7,2.15,100.0,263232,16.386885322588768
ustec__two-sided__wide__dynamic60,Calibration,ustec,USTEC,M1,two-sided,wide,60,60,150,dynamic60,True,True,True,60,1,2025.09.01,2026.05.31,1,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\News Pulse Direction Research 2026-09-05\Backtest Reports\Calibration\ustec__two-sided__wide__dynamic60.htm,10000.0,10124.92,124.92,1.2491999999999999,349.85,-224.93,1.56,58.33,7,5,12,230.08,2.28,8.15,0.54,100.0,263232,-1.8683026918962575
eurusd__buy-only__tight__dynamic60,Calibration,eurusd,EURUSD,M1,buy-only,tight,0.0006,0.0006,0.0015,dynamic60,True,False,True,60,1,2025.09.01,2026.05.31,1,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\News Pulse Direction Research 2026-09-05\Backtest Reports\Calibration\eurusd__buy-only__tight__dynamic60.htm,10000.0,12613.11,2613.11,26.1311,2701.88,-88.77,30.44,85.71,12,2,14,316.46,2.45,105.08,8.26,100.0,277128,34.82587516175151
eurusd__buy-only__wide__dynamic60,Calibration,eurusd,EURUSD,M1,buy-only,wide,0.001,0.001,0.0025,dynamic60,True,False,True,60,1,2025.09.01,2026.05.31,1,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\News Pulse Direction Research 2026-09-05\Backtest Reports\Calibration\eurusd__buy-only__wide__dynamic60.htm,10000.0,10933.84,933.84,9.3384,1023.81,-89.97,11.38,84.62,11,2,13,196.75,1.77,51.4,4.75,100.0,277128,18.375398037747708
eurusd__sell-only__tight__dynamic60,Calibration,eurusd,EURUSD,M1,sell-only,tight,0.0006,0.0006,0.0015,dynamic60,False,True,True,60,1,2025.09.01,2026.05.31,1,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\News Pulse Direction Research 2026-09-05\Backtest Reports\Calibration\eurusd__sell-only__tight__dynamic60.htm,10000.0,10504.75,504.75,5.0475,944.73,-439.98,2.15,40.0,4,6,10,489.13,4.75,3.89,1.03,100.0,277128,4.12294467966324
eurusd__sell-only__wide__dynamic60,Calibration,eurusd,EURUSD,M1,sell-only,wide,0.001,0.001,0.0025,dynamic60,False,True,True,60,1,2025.09.01,2026.05.31,1,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\News Pulse Direction Research 2026-09-05\Backtest Reports\Calibration\eurusd__sell-only__wide__dynamic60.htm,10000.0,10064.14,64.14,0.6414000000000001,437.75,-373.61,1.17,28.57,2,5,7,438.85,4.33,0.24,0.15,100.0,277128,-9.021889460184546
eurusd__two-sided__tight__dynamic60,Calibration,eurusd,EURUSD,M1,two-sided,tight,0.0006,0.0006,0.0015,dynamic60,True,True,True,60,1,2025.09.01,2026.05.31,1,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\News Pulse Direction Research 2026-09-05\Backtest Reports\Calibration\eurusd__two-sided__tight__dynamic60.htm,10000.0,13249.04,3249.04,32.490399999999994,3868.91,-619.87,6.24,66.67,16,8,24,519.72,3.77,286.55,6.25,100.0,277128,41.391917095361364
eurusd__two-sided__wide__dynamic60,Calibration,eurusd,EURUSD,M1,two-sided,wide,0.001,0.001,0.0025,dynamic60,True,True,True,60,1,2025.09.01,2026.05.31,1,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\News Pulse Direction Research 2026-09-05\Backtest Reports\Calibration\eurusd__two-sided__wide__dynamic60.htm,10000.0,11003.13,1003.13,10.0313,1491.26,-488.13,3.06,65.0,13,7,20,274.58,2.43,124.78,3.65,100.0,277128,19.615164045000423
btcusd__buy-only__tight__dynamic60,Calibration,btcusd,BTCUSD,M1,buy-only,tight,150,150,375,dynamic60,True,False,True,60,1,2025.09.01,2026.05.31,1,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\News Pulse Direction Research 2026-09-05\Backtest Reports\Calibration\btcusd__buy-only__tight__dynamic60.htm,10000.0,10368.14,368.14,3.6814,1327.49,-959.35,1.38,38.89,7,11,18,836.44,7.47,35.62,0.44,100.0,391567,-3.968645207910318
btcusd__buy-only__wide__dynamic60,Calibration,btcusd,BTCUSD,M1,buy-only,wide,300,300,750,dynamic60,True,False,True,60,1,2025.09.01,2026.05.31,1,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\News Pulse Direction Research 2026-09-05\Backtest Reports\Calibration\btcusd__buy-only__wide__dynamic60.htm,10000.0,9745.07,-254.93,-2.5493,261.62,-516.55,0.51,41.67,5,7,12,608.35,5.88,-5.0,-0.42,100.0,391567,-16.94680269189626
btcusd__sell-only__tight__dynamic60,Calibration,btcusd,BTCUSD,M1,sell-only,tight,150,150,375,dynamic60,False,True,True,60,1,2025.09.01,2026.05.31,1,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\News Pulse Direction Research 2026-09-05\Backtest Reports\Calibration\btcusd__sell-only__tight__dynamic60.htm,10000.0,9844.97,-155.03,-1.5503,220.06,-375.09,0.59,28.57,2,5,7,587.04,5.63,-1.13,-0.26,100.0,391567,-16.893589460184543
btcusd__sell-only__wide__dynamic60,Calibration,btcusd,BTCUSD,M1,sell-only,wide,300,300,750,dynamic60,False,True,True,60,1,2025.09.01,2026.05.31,1,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\News Pulse Direction Research 2026-09-05\Backtest Reports\Calibration\btcusd__sell-only__wide__dynamic60.htm,10000.0,9806.89,-193.11,-1.9311000000000003,52.18,-245.29,0.21,25.0,1,3,4,362.54,3.57,-0.98,-0.53,100.0,391567,-1000000000.0
btcusd__two-sided__tight__dynamic60,Calibration,btcusd,BTCUSD,M1,two-sided,tight,150,150,375,dynamic60,True,True,True,60,1,2025.09.01,2026.05.31,1,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\News Pulse Direction Research 2026-09-05\Backtest Reports\Calibration\btcusd__two-sided__tight__dynamic60.htm,10000.0,10208.3,208.3,2.083,1550.83,-1342.53,1.16,36.0,9,16,25,820.24,7.44,31.88,0.25,100.0,391567,-6.589000000000001
btcusd__two-sided__wide__dynamic60,Calibration,btcusd,BTCUSD,M1,two-sided,wide,300,300,750,dynamic60,True,True,True,60,1,2025.09.01,2026.05.31,1,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\News Pulse Direction Research 2026-09-05\Backtest Reports\Calibration\btcusd__two-sided__wide__dynamic60.htm,10000.0,9560.35,-439.65,-4.3965,313.8,-753.45,0.42,37.5,6,10,16,718.89,6.99,-5.0,-0.61,100.0,391567,-19.628500000000003
