case,group,stage,report,from,to,model,risk_percent,initial_balance,final_balance,net_profit,return_pct,profit_factor,win_rate_pct,max_drawdown_pct,trades,sharpe_ratio,recovery_factor,history_quality,analysed_sharpe,analysed_recovery
rr-300,reward-risk,Development,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\Active Portfolio Full Pipeline 2026-09-05\06 Asia Breakout\Backtest Reports\Development\asia-xau-development-rr-300.htm,2023.09.01,2025.08.31,1,1.00,10000.0,10328.04,328.04,3.28,1.02,38.87,20.14,283,0.17,0.15,98%,0.16,0.16
rr-400,reward-risk,Development,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\Active Portfolio Full Pipeline 2026-09-05\06 Asia Breakout\Backtest Reports\Development\asia-xau-development-rr-400.htm,2023.09.01,2025.08.31,1,1.00,10000.0,10334.34,334.34,3.34,1.02,34.96,26.41,266,0.15,0.11,98%,0.15,0.12
rr-500,reward-risk,Development,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\Active Portfolio Full Pipeline 2026-09-05\06 Asia Breakout\Backtest Reports\Development\asia-xau-development-rr-500.htm,2023.09.01,2025.08.31,1,1.00,10000.0,10507.09,507.09,5.07,1.03,35.09,27.09,265,0.22,0.17,98%,0.23,0.18
breakout-buffer-000,breakout-buffer,Development,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\Active Portfolio Full Pipeline 2026-09-05\06 Asia Breakout\Backtest Reports\Development\asia-xau-development-breakout-buffer-000.htm,2023.09.01,2025.08.31,1,1.00,10000.0,12146.24,2146.24,21.46,1.12,41.08,13.09,297,0.97,1.25,98%,0.92,1.32
breakout-buffer-001,breakout-buffer,Development,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\Active Portfolio Full Pipeline 2026-09-05\06 Asia Breakout\Backtest Reports\Development\asia-xau-development-breakout-buffer-001.htm,2023.09.01,2025.08.31,1,1.00,10000.0,11311.28,1311.28,13.11,1.08,40.27,15.6,293,0.62,0.79,98%,0.6,0.85
breakout-buffer-003,breakout-buffer,Development,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\Active Portfolio Full Pipeline 2026-09-05\06 Asia Breakout\Backtest Reports\Development\asia-xau-development-breakout-buffer-003.htm,2023.09.01,2025.08.31,1,1.00,10000.0,10328.04,328.04,3.28,1.02,38.87,20.14,283,0.17,0.15,98%,0.16,0.16
breakout-buffer-005,breakout-buffer,Development,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\Active Portfolio Full Pipeline 2026-09-05\06 Asia Breakout\Backtest Reports\Development\asia-xau-development-breakout-buffer-005.htm,2023.09.01,2025.08.31,1,1.00,10000.0,10506.65,506.65,5.07,1.03,38.97,21.87,272,0.26,0.21,98%,0.24,0.23
breakout-buffer-010,breakout-buffer,Development,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\Active Portfolio Full Pipeline 2026-09-05\06 Asia Breakout\Backtest Reports\Development\asia-xau-development-breakout-buffer-010.htm,2023.09.01,2025.08.31,1,1.00,10000.0,11588.98,1588.98,15.89,1.11,40.16,17.6,249,0.8,0.81,98%,0.75,0.86
stop-midpoint,stop,Development,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\Active Portfolio Full Pipeline 2026-09-05\06 Asia Breakout\Backtest Reports\Development\asia-xau-development-stop-midpoint.htm,2023.09.01,2025.08.31,1,1.00,10000.0,10328.04,328.04,3.28,1.02,38.87,20.14,283,0.17,0.15,98%,0.16,0.16
stop-opposite-b000,stop,Development,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\Active Portfolio Full Pipeline 2026-09-05\06 Asia Breakout\Backtest Reports\Development\asia-xau-development-stop-opposite-b000.htm,2023.09.01,2025.08.31,1,1.00,10000.0,12560.79,2560.79,25.61,1.26,43.33,10.33,180,1.22,2.21,98%,1.42,2.6
stop-opposite-b003,stop,Development,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\Active Portfolio Full Pipeline 2026-09-05\06 Asia Breakout\Backtest Reports\Development\asia-xau-development-stop-opposite-b003.htm,2023.09.01,2025.08.31,1,1.00,10000.0,12689.91,2689.91,26.9,1.28,43.68,9.77,174,1.32,2.43,98%,1.49,2.9
stop-opposite-b010,stop,Development,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\Active Portfolio Full Pipeline 2026-09-05\06 Asia Breakout\Backtest Reports\Development\asia-xau-development-stop-opposite-b010.htm,2023.09.01,2025.08.31,1,1.00,10000.0,13613.22,3613.22,36.13,1.38,44.1,10.8,161,1.66,2.71,98%,1.87,3.14
stop-signal-b000,stop,Development,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\Active Portfolio Full Pipeline 2026-09-05\06 Asia Breakout\Backtest Reports\Development\asia-xau-development-stop-signal-b000.htm,2023.09.01,2025.08.31,1,1.00,10000.0,8368.79,-1631.21,-16.31,0.91,35.03,24.73,314,-0.98,-0.62,98%,-0.78,-0.64
stop-signal-b003,stop,Development,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\Active Portfolio Full Pipeline 2026-09-05\06 Asia Breakout\Backtest Reports\Development\asia-xau-development-stop-signal-b003.htm,2023.09.01,2025.08.31,1,1.00,10000.0,8878.79,-1121.21,-11.21,0.94,36.75,22.09,302,-0.64,-0.47,98%,-0.54,-0.5
stop-signal-b010,stop,Development,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\Active Portfolio Full Pipeline 2026-09-05\06 Asia Breakout\Backtest Reports\Development\asia-xau-development-stop-signal-b010.htm,2023.09.01,2025.08.31,1,1.00,10000.0,9213.4,-786.6,-7.87,0.95,36.64,22.15,292,-0.43,-0.33,98%,-0.38,-0.34
manage-none,management,Development,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\Active Portfolio Full Pipeline 2026-09-05\06 Asia Breakout\Backtest Reports\Development\asia-xau-development-manage-none.htm,2023.09.01,2025.08.31,1,1.00,10000.0,13023.17,3023.17,30.23,1.17,28.45,22.26,232,1.01,1.17,98%,1.05,1.25
manage-native-200-050,management,Development,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\Active Portfolio Full Pipeline 2026-09-05\06 Asia Breakout\Backtest Reports\Development\asia-xau-development-manage-native-200-050.htm,2023.09.01,2025.08.31,1,1.00,10000.0,10952.54,952.54,9.53,1.06,35.07,21.66,268,0.42,0.39,98%,0.4,0.43
manage-native-150-075,management,Development,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\Active Portfolio Full Pipeline 2026-09-05\06 Asia Breakout\Backtest Reports\Development\asia-xau-development-manage-native-150-075.htm,2023.09.01,2025.08.31,1,1.00,10000.0,10586.59,586.59,5.87,1.04,41.61,19.35,286,0.29,0.28,98%,0.28,0.29
manage-native-100-050,management,Development,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\Active Portfolio Full Pipeline 2026-09-05\06 Asia Breakout\Backtest Reports\Development\asia-xau-development-manage-native-100-050.htm,2023.09.01,2025.08.31,1,1.00,10000.0,10382.09,382.09,3.82,1.02,50.31,13.7,322,0.26,0.25,98%,0.21,0.28
manage-dynamic5020-only,management,Development,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\Active Portfolio Full Pipeline 2026-09-05\06 Asia Breakout\Backtest Reports\Development\asia-xau-development-manage-dynamic5020-only.htm,2023.09.01,2025.08.31,1,1.00,10000.0,11403.52,1403.52,14.04,1.09,39.02,24.46,264,0.6,0.5,98%,0.58,0.55
manage-dynamic6020-only,management,Development,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\Active Portfolio Full Pipeline 2026-09-05\06 Asia Breakout\Backtest Reports\Development\asia-xau-development-manage-dynamic6020-only.htm,2023.09.01,2025.08.31,1,1.00,10000.0,11299.56,1299.56,13.0,1.08,34.77,24.71,256,0.52,0.47,98%,0.53,0.52
manage-dynamic7525-only,management,Development,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\Active Portfolio Full Pipeline 2026-09-05\06 Asia Breakout\Backtest Reports\Development\asia-xau-development-manage-dynamic7525-only.htm,2023.09.01,2025.08.31,1,1.00,10000.0,12033.12,2033.12,20.33,1.12,30.29,23.35,241,0.74,0.75,98%,0.76,0.8
manage-dynamic5020-native,management,Development,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\Active Portfolio Full Pipeline 2026-09-05\06 Asia Breakout\Backtest Reports\Development\asia-xau-development-manage-dynamic5020-native.htm,2023.09.01,2025.08.31,1,1.00,10000.0,10328.04,328.04,3.28,1.02,38.87,20.14,283,0.17,0.15,98%,0.16,0.16
manage-dynamic6020-native,management,Development,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\Active Portfolio Full Pipeline 2026-09-05\06 Asia Breakout\Backtest Reports\Development\asia-xau-development-manage-dynamic6020-native.htm,2023.09.01,2025.08.31,1,1.00,10000.0,10485.43,485.43,4.85,1.03,35.79,21.6,271,0.22,0.21,98%,0.22,0.23
session-all,session,Development,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\Active Portfolio Full Pipeline 2026-09-05\06 Asia Breakout\Backtest Reports\Development\asia-xau-development-session-all.htm,2023.09.01,2025.08.31,1,1.00,10000.0,10328.04,328.04,3.28,1.02,38.87,20.14,283,0.17,0.15,98%,0.16,0.16
session-asia,session,Development,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\Active Portfolio Full Pipeline 2026-09-05\06 Asia Breakout\Backtest Reports\Development\asia-xau-development-session-asia.htm,2023.09.01,2025.08.31,1,1.00,10000.0,10000.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,98%,0.0,0.0
session-london,session,Development,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\Active Portfolio Full Pipeline 2026-09-05\06 Asia Breakout\Backtest Reports\Development\asia-xau-development-session-london.htm,2023.09.01,2025.08.31,1,1.00,10000.0,11889.84,1889.84,18.9,2.22,57.14,7.18,35,8.61,2.48,98%,2.24,3.71
session-new-york,session,Development,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\Active Portfolio Full Pipeline 2026-09-05\06 Asia Breakout\Backtest Reports\Development\asia-xau-development-session-new-york.htm,2023.09.01,2025.08.31,1,1.00,10000.0,9901.53,-98.47,-0.98,0.99,37.15,19.87,253,-0.05,-0.05,98%,-0.05,-0.05
session-overlap,session,Development,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\Active Portfolio Full Pipeline 2026-09-05\06 Asia Breakout\Backtest Reports\Development\asia-xau-development-session-overlap.htm,2023.09.01,2025.08.31,1,1.00,10000.0,10886.0,886.0,8.86,1.06,38.62,15.98,246,0.48,0.53,98%,0.44,0.58
timeframe-h1,timeframe,Development,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\Active Portfolio Full Pipeline 2026-09-05\06 Asia Breakout\Backtest Reports\Development\asia-xau-development-timeframe-h1.htm,2023.09.01,2025.08.31,1,1.00,10000.0,10328.04,328.04,3.28,1.02,38.87,20.14,283,0.17,0.15,98%,0.16,0.16
timeframe-m30,timeframe,Development,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\Active Portfolio Full Pipeline 2026-09-05\06 Asia Breakout\Backtest Reports\Development\asia-xau-development-timeframe-m30.htm,2023.09.01,2025.08.31,1,1.00,10000.0,10661.84,661.84,6.62,1.04,37.69,22.94,321,0.3,0.27,98%,0.29,0.28
timeframe-m15,timeframe,Development,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\Active Portfolio Full Pipeline 2026-09-05\06 Asia Breakout\Backtest Reports\Development\asia-xau-development-timeframe-m15.htm,2023.09.01,2025.08.31,1,1.00,10000.0,10599.69,599.69,6.0,1.03,37.14,25.58,350,0.26,0.2,98%,0.24,0.21
window-0800-1000,entry-window,Development,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\Active Portfolio Full Pipeline 2026-09-05\06 Asia Breakout\Backtest Reports\Development\asia-xau-development-window-0800-1000.htm,2023.09.01,2025.08.31,1,1.00,10000.0,10183.62,183.62,1.84,1.02,38.85,17.52,157,0.18,0.1,98%,0.12,0.11
window-0800-1200,entry-window,Development,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\Active Portfolio Full Pipeline 2026-09-05\06 Asia Breakout\Backtest Reports\Development\asia-xau-development-window-0800-1200.htm,2023.09.01,2025.08.31,1,1.00,10000.0,11873.23,1873.23,18.73,1.12,40.31,16.22,258,0.97,1.06,98%,0.86,1.18
window-0800-1300,entry-window,Development,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\Active Portfolio Full Pipeline 2026-09-05\06 Asia Breakout\Backtest Reports\Development\asia-xau-development-window-0800-1300.htm,2023.09.01,2025.08.31,1,1.00,10000.0,10328.04,328.04,3.28,1.02,38.87,20.14,283,0.17,0.15,98%,0.16,0.16
window-0800-1500,entry-window,Development,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\Active Portfolio Full Pipeline 2026-09-05\06 Asia Breakout\Backtest Reports\Development\asia-xau-development-window-0800-1500.htm,2023.09.01,2025.08.31,1,1.00,10000.0,10945.21,945.21,9.45,1.05,39.47,16.26,304,0.44,0.55,98%,0.42,0.59
safe-off,safe-filter,Development,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\Active Portfolio Full Pipeline 2026-09-05\06 Asia Breakout\Backtest Reports\Development\asia-xau-development-safe-off.htm,2023.09.01,2025.08.31,1,1.00,10000.0,10328.04,328.04,3.28,1.02,38.87,20.14,283,0.17,0.15,98%,0.16,0.16
safe-on,safe-filter,Development,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\Active Portfolio Full Pipeline 2026-09-05\06 Asia Breakout\Backtest Reports\Development\asia-xau-development-safe-on.htm,2023.09.01,2025.08.31,1,1.00,10000.0,11216.56,1216.56,12.17,1.33,46.15,5.99,65,3.07,1.8,98%,1.09,2.34
final-current-standard,combined-finalist,Development,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\Active Portfolio Full Pipeline 2026-09-05\06 Asia Breakout\Backtest Reports\Development\asia-xau-development-final-current-standard.htm,2023.09.01,2025.08.31,1,1.00,10000.0,10328.04,328.04,3.28,1.02,38.87,20.14,283,0.17,0.15,98%,0.16,0.16
final-current-safe,combined-finalist,Development,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\Active Portfolio Full Pipeline 2026-09-05\06 Asia Breakout\Backtest Reports\Development\asia-xau-development-final-current-safe.htm,2023.09.01,2025.08.31,1,1.00,10000.0,11216.56,1216.56,12.17,1.33,46.15,5.99,65,3.07,1.8,98%,1.09,2.34
final-rr3-dynamic5020-only,combined-finalist,Development,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\Active Portfolio Full Pipeline 2026-09-05\06 Asia Breakout\Backtest Reports\Development\asia-xau-development-final-rr3-dynamic5020-only.htm,2023.09.01,2025.08.31,1,1.00,10000.0,11403.52,1403.52,14.04,1.09,39.02,24.46,264,0.6,0.5,98%,0.58,0.55
final-rr3-native-only,combined-finalist,Development,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\Active Portfolio Full Pipeline 2026-09-05\06 Asia Breakout\Backtest Reports\Development\asia-xau-development-final-rr3-native-only.htm,2023.09.01,2025.08.31,1,1.00,10000.0,10952.54,952.54,9.53,1.06,35.07,21.66,268,0.42,0.39,98%,0.4,0.43
final-rr25-dynamic5020-only,combined-finalist,Development,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\Active Portfolio Full Pipeline 2026-09-05\06 Asia Breakout\Backtest Reports\Development\asia-xau-development-final-rr25-dynamic5020-only.htm,2023.09.01,2025.08.31,1,1.00,10000.0,9769.65,-230.35,-2.3,0.99,41.24,25.73,291,-0.11,-0.08,98%,-0.11,-0.09
combo-opposite010-rr200,combined-finalist,Development,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\Active Portfolio Full Pipeline 2026-09-05\06 Asia Breakout\Backtest Reports\Development\asia-xau-development-combo-opposite010-rr200.htm,2023.09.01,2025.08.31,1,1.00,10000.0,12957.22,2957.22,29.57,1.31,52.94,11.81,204,1.62,2.14,98%,1.86,2.28
combo-opposite010-rr250,combined-finalist,Development,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\Active Portfolio Full Pipeline 2026-09-05\06 Asia Breakout\Backtest Reports\Development\asia-xau-development-combo-opposite010-rr250.htm,2023.09.01,2025.08.31,1,1.00,10000.0,11430.26,1430.26,14.3,1.16,46.96,9.54,181,0.82,1.39,98%,0.96,1.67
combo-opposite010-rr300,combined-finalist,Development,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\Active Portfolio Full Pipeline 2026-09-05\06 Asia Breakout\Backtest Reports\Development\asia-xau-development-combo-opposite010-rr300.htm,2023.09.01,2025.08.31,1,1.00,10000.0,13613.22,3613.22,36.13,1.38,44.1,10.8,161,1.66,2.71,98%,1.87,3.14
combo-opposite010-rr400,combined-finalist,Development,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\Active Portfolio Full Pipeline 2026-09-05\06 Asia Breakout\Backtest Reports\Development\asia-xau-development-combo-opposite010-rr400.htm,2023.09.01,2025.08.31,1,1.00,10000.0,11049.92,1049.92,10.5,1.15,34.96,14.97,123,0.57,0.65,98%,0.67,0.7
combo-opposite010-rr300-safe,combined-finalist,Development,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\Active Portfolio Full Pipeline 2026-09-05\06 Asia Breakout\Backtest Reports\Development\asia-xau-development-combo-opposite010-rr300-safe.htm,2023.09.01,2025.08.31,1,1.00,10000.0,11510.76,1510.76,15.11,1.51,45.45,6.38,55,2.8,2.08,98%,1.37,2.35
combo-opposite010-native-only,combined-finalist,Development,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\Active Portfolio Full Pipeline 2026-09-05\06 Asia Breakout\Backtest Reports\Development\asia-xau-development-combo-opposite010-native-only.htm,2023.09.01,2025.08.31,1,1.00,10000.0,10606.65,606.65,6.07,1.08,33.83,16.27,133,0.33,0.35,98%,0.39,0.37
combo-opposite010-dynamic-only,combined-finalist,Development,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\Active Portfolio Full Pipeline 2026-09-05\06 Asia Breakout\Backtest Reports\Development\asia-xau-development-combo-opposite010-dynamic-only.htm,2023.09.01,2025.08.31,1,1.00,10000.0,12576.39,2576.39,25.76,1.32,43.45,12.23,145,1.19,1.92,98%,1.39,2.18
combo-opposite010-no-management,combined-finalist,Development,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\Active Portfolio Full Pipeline 2026-09-05\06 Asia Breakout\Backtest Reports\Development\asia-xau-development-combo-opposite010-no-management.htm,2023.09.01,2025.08.31,1,1.00,10000.0,12358.54,2358.54,23.59,1.35,31.73,12.9,104,1.12,1.72,98%,1.34,2.05
combo-opposite010-buffer000,combined-finalist,Development,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\Active Portfolio Full Pipeline 2026-09-05\06 Asia Breakout\Backtest Reports\Development\asia-xau-development-combo-opposite010-buffer000.htm,2023.09.01,2025.08.31,1,1.00,10000.0,14457.08,4457.08,44.57,1.44,44.71,9.3,170,1.96,3.8,98%,2.15,4.47
combo-opposite010-buffer000-safe,combined-finalist,Development,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\Active Portfolio Full Pipeline 2026-09-05\06 Asia Breakout\Backtest Reports\Development\asia-xau-development-combo-opposite010-buffer000-safe.htm,2023.09.01,2025.08.31,1,1.00,10000.0,12050.28,2050.28,20.5,1.74,50.0,6.74,54,3.9,2.59,98%,1.84,2.91
combo-opposite010-window0812,combined-finalist,Development,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\Active Portfolio Full Pipeline 2026-09-05\06 Asia Breakout\Backtest Reports\Development\asia-xau-development-combo-opposite010-window0812.htm,2023.09.01,2025.08.31,1,1.00,10000.0,12964.17,2964.17,29.64,1.34,44.52,10.43,155,1.48,2.41,98%,1.69,2.83
combo-opposite010-window0812-safe,combined-finalist,Development,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\Active Portfolio Full Pipeline 2026-09-05\06 Asia Breakout\Backtest Reports\Development\asia-xau-development-combo-opposite010-window0812-safe.htm,2023.09.01,2025.08.31,1,1.00,10000.0,11542.57,1542.57,15.43,1.57,45.1,5.53,51,3.08,2.48,98%,1.43,3.2
combo-opposite003-standard,combined-finalist,Development,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\Active Portfolio Full Pipeline 2026-09-05\06 Asia Breakout\Backtest Reports\Development\asia-xau-development-combo-opposite003-standard.htm,2023.09.01,2025.08.31,1,1.00,10000.0,12689.91,2689.91,26.9,1.28,43.68,9.77,174,1.32,2.43,98%,1.49,2.9
combo-opposite003-safe,combined-finalist,Development,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\Active Portfolio Full Pipeline 2026-09-05\06 Asia Breakout\Backtest Reports\Development\asia-xau-development-combo-opposite003-safe.htm,2023.09.01,2025.08.31,1,1.00,10000.0,11804.02,1804.02,18.04,1.63,50.0,5.96,56,3.35,2.61,98%,1.68,3.28
