case,group,stage,report,from,to,model,risk_percent,settings_json,initial_balance,final_balance,net_profit,return_pct,profit_factor,win_rate_pct,max_drawdown_pct,trades,sharpe_ratio,recovery_factor,history_quality,analysed_sharpe,analysed_recovery
rr-400,reward-risk,Development,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\Active Portfolio Full Pipeline 2026-09-05\05 ORB Volume Profile\Backtest Reports\Development\orb-volume-xau-development-rr-400.htm,2023.09.01,2025.08.31,1,1.00,"{""InpUseMarkovRegimeFilter"":""false"",""InpMarkovMinLabels"":""252"",""InpMagic"":""86500011"",""InpMarkovThreshold"":""0.05"",""InpMarkovReturnWindow"":""40"",""InpRewardRisk"":""4.00"",""InpResearchBrokerUtcOffsetMinutes"":""0"",""InpMarkovSignalGate"":""0.05"",""InpResearchSession"":""0"",""InpRiskPercent"":""1.00"",""InpMarkovHistoryBars"":""2600""}",10000.0,12400.59,2400.59,24.01,1.48,55.83,8.91,120,6.22,2.41,98%,1.61,2.83
stop-signal-b005-max15,stop,Development,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\Active Portfolio Full Pipeline 2026-09-05\05 ORB Volume Profile\Backtest Reports\Development\orb-volume-xau-development-stop-signal-b005-max15.htm,2023.09.01,2025.08.31,1,1.00,"{""InpMarkovHistoryBars"":""2600"",""InpRiskPercent"":""1.00"",""InpMarkovMinLabels"":""252"",""InpMarkovThreshold"":""0.05"",""InpMarkovSignalGate"":""0.05"",""InpStopBufferATR"":""0.05"",""InpStopMode"":""0"",""InpMaximumStopATR"":""1.50"",""InpResearchSession"":""0"",""InpMarkovReturnWindow"":""40"",""InpResearchBrokerUtcOffsetMinutes"":""0"",""InpMagic"":""86500012"",""InpUseMarkovRegimeFilter"":""false""}",10000.0,10868.19,868.19,8.68,1.1,52.08,14.42,192,2.97,0.59,98%,0.53,0.64
stop-signal-b010-max20,stop,Development,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\Active Portfolio Full Pipeline 2026-09-05\05 ORB Volume Profile\Backtest Reports\Development\orb-volume-xau-development-stop-signal-b010-max20.htm,2023.09.01,2025.08.31,1,1.00,"{""InpMarkovHistoryBars"":""2600"",""InpRiskPercent"":""1.00"",""InpMarkovMinLabels"":""252"",""InpMarkovThreshold"":""0.05"",""InpMarkovSignalGate"":""0.05"",""InpStopBufferATR"":""0.10"",""InpStopMode"":""0"",""InpMaximumStopATR"":""2.00"",""InpResearchSession"":""0"",""InpMarkovReturnWindow"":""40"",""InpResearchBrokerUtcOffsetMinutes"":""0"",""InpMagic"":""86500013"",""InpUseMarkovRegimeFilter"":""false""}",10000.0,10119.61,119.61,1.2,1.01,51.55,14.45,194,0.38,0.08,98%,0.07,0.09
stop-signal-b015-max25,stop,Development,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\Active Portfolio Full Pipeline 2026-09-05\05 ORB Volume Profile\Backtest Reports\Development\orb-volume-xau-development-stop-signal-b015-max25.htm,2023.09.01,2025.08.31,1,1.00,"{""InpMarkovHistoryBars"":""2600"",""InpRiskPercent"":""1.00"",""InpMarkovMinLabels"":""252"",""InpMarkovThreshold"":""0.05"",""InpMarkovSignalGate"":""0.05"",""InpStopBufferATR"":""0.15"",""InpStopMode"":""0"",""InpMaximumStopATR"":""2.50"",""InpResearchSession"":""0"",""InpMarkovReturnWindow"":""40"",""InpResearchBrokerUtcOffsetMinutes"":""0"",""InpMagic"":""86500014"",""InpUseMarkovRegimeFilter"":""false""}",10000.0,11529.86,1529.86,15.3,1.17,53.61,11.38,194,4.38,1.32,98%,0.86,1.48
stop-opposite-b005-max15,stop,Development,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\Active Portfolio Full Pipeline 2026-09-05\05 ORB Volume Profile\Backtest Reports\Development\orb-volume-xau-development-stop-opposite-b005-max15.htm,2023.09.01,2025.08.31,1,1.00,"{""InpMarkovHistoryBars"":""2600"",""InpRiskPercent"":""1.00"",""InpMarkovMinLabels"":""252"",""InpMarkovThreshold"":""0.05"",""InpMarkovSignalGate"":""0.05"",""InpStopBufferATR"":""0.05"",""InpStopMode"":""1"",""InpMaximumStopATR"":""1.50"",""InpResearchSession"":""0"",""InpMarkovReturnWindow"":""40"",""InpResearchBrokerUtcOffsetMinutes"":""0"",""InpMagic"":""86500015"",""InpUseMarkovRegimeFilter"":""false""}",10000.0,11603.52,1603.52,16.04,1.57,60.0,9.32,70,9.15,1.61,98%,1.49,1.7
stop-opposite-b010-max20,stop,Development,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\Active Portfolio Full Pipeline 2026-09-05\05 ORB Volume Profile\Backtest Reports\Development\orb-volume-xau-development-stop-opposite-b010-max20.htm,2023.09.01,2025.08.31,1,1.00,"{""InpMarkovHistoryBars"":""2600"",""InpRiskPercent"":""1.00"",""InpMarkovMinLabels"":""252"",""InpMarkovThreshold"":""0.05"",""InpMarkovSignalGate"":""0.05"",""InpStopBufferATR"":""0.10"",""InpStopMode"":""1"",""InpMaximumStopATR"":""2.00"",""InpResearchSession"":""0"",""InpMarkovReturnWindow"":""40"",""InpResearchBrokerUtcOffsetMinutes"":""0"",""InpMagic"":""86500016"",""InpUseMarkovRegimeFilter"":""false""}",10000.0,13208.96,3208.96,32.09,1.61,55.83,5.56,120,9.47,4.55,98%,2.1,6.23
stop-opposite-b015-max25,stop,Development,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\Active Portfolio Full Pipeline 2026-09-05\05 ORB Volume Profile\Backtest Reports\Development\orb-volume-xau-development-stop-opposite-b015-max25.htm,2023.09.01,2025.08.31,1,1.00,"{""InpMarkovHistoryBars"":""2600"",""InpRiskPercent"":""1.00"",""InpMarkovMinLabels"":""252"",""InpMarkovThreshold"":""0.05"",""InpMarkovSignalGate"":""0.05"",""InpStopBufferATR"":""0.15"",""InpStopMode"":""1"",""InpMaximumStopATR"":""2.50"",""InpResearchSession"":""0"",""InpMarkovReturnWindow"":""40"",""InpResearchBrokerUtcOffsetMinutes"":""0"",""InpMagic"":""86500017"",""InpUseMarkovRegimeFilter"":""false""}",10000.0,12922.37,2922.37,29.22,1.47,55.84,8.06,154,6.83,2.89,98%,1.9,3.43
manage-none,management,Development,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\Active Portfolio Full Pipeline 2026-09-05\05 ORB Volume Profile\Backtest Reports\Development\orb-volume-xau-development-manage-none.htm,2023.09.01,2025.08.31,1,1.00,"{""InpMarkovHistoryBars"":""2600"",""InpRiskPercent"":""1.00"",""InpMarkovMinLabels"":""252"",""InpUseDynamicTrailingSL"":""false"",""InpMarkovSignalGate"":""0.05"",""InpBreakEvenAtR"":""0"",""InpMarkovThreshold"":""0.05"",""InpResearchSession"":""0"",""InpMarkovReturnWindow"":""40"",""InpResearchBrokerUtcOffsetMinutes"":""0"",""InpMagic"":""86500018"",""InpTrailStartAtR"":""0"",""InpUseMarkovRegimeFilter"":""false""}",10000.0,13441.59,3441.59,34.42,1.57,49.17,5.84,120,8.66,5.13,98%,2.1,6.22
manage-be050,management,Development,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\Active Portfolio Full Pipeline 2026-09-05\05 ORB Volume Profile\Backtest Reports\Development\orb-volume-xau-development-manage-be050.htm,2023.09.01,2025.08.31,1,1.00,"{""InpMarkovHistoryBars"":""2600"",""InpRiskPercent"":""1.00"",""InpMarkovMinLabels"":""252"",""InpUseDynamicTrailingSL"":""false"",""InpMarkovSignalGate"":""0.05"",""InpBreakEvenAtR"":""0.50"",""InpMarkovThreshold"":""0.05"",""InpResearchSession"":""0"",""InpMarkovReturnWindow"":""40"",""InpResearchBrokerUtcOffsetMinutes"":""0"",""InpMagic"":""86500019"",""InpTrailStartAtR"":""0"",""InpUseMarkovRegimeFilter"":""false""}",10000.0,11937.48,1937.48,19.37,1.56,72.5,4.94,120,8.64,3.15,98%,1.55,4.59
manage-be100,management,Development,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\Active Portfolio Full Pipeline 2026-09-05\05 ORB Volume Profile\Backtest Reports\Development\orb-volume-xau-development-manage-be100.htm,2023.09.01,2025.08.31,1,1.00,"{""InpMarkovHistoryBars"":""2600"",""InpRiskPercent"":""1.00"",""InpMarkovMinLabels"":""252"",""InpUseDynamicTrailingSL"":""false"",""InpMarkovSignalGate"":""0.05"",""InpBreakEvenAtR"":""1.00"",""InpMarkovThreshold"":""0.05"",""InpResearchSession"":""0"",""InpMarkovReturnWindow"":""40"",""InpResearchBrokerUtcOffsetMinutes"":""0"",""InpMagic"":""86500020"",""InpTrailStartAtR"":""0"",""InpUseMarkovRegimeFilter"":""false""}",10000.0,13410.53,3410.53,34.11,1.65,55.83,6.06,120,9.57,4.98,98%,2.18,6.32
manage-trail050,management,Development,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\Active Portfolio Full Pipeline 2026-09-05\05 ORB Volume Profile\Backtest Reports\Development\orb-volume-xau-development-manage-trail050.htm,2023.09.01,2025.08.31,1,1.00,"{""InpMarkovHistoryBars"":""2600"",""InpRiskPercent"":""1.00"",""InpMarkovMinLabels"":""252"",""InpUseDynamicTrailingSL"":""false"",""InpMarkovSignalGate"":""0.05"",""InpBreakEvenAtR"":""0"",""InpMarkovThreshold"":""0.05"",""InpResearchSession"":""0"",""InpMarkovReturnWindow"":""40"",""InpResearchBrokerUtcOffsetMinutes"":""0"",""InpMagic"":""86500021"",""InpTrailStartAtR"":""0.50"",""InpUseMarkovRegimeFilter"":""false""}",10000.0,11705.26,1705.26,17.05,1.37,59.17,5.74,120,8.87,2.75,98%,1.46,3.2
manage-trail100,management,Development,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\Active Portfolio Full Pipeline 2026-09-05\05 ORB Volume Profile\Backtest Reports\Development\orb-volume-xau-development-manage-trail100.htm,2023.09.01,2025.08.31,1,1.00,"{""InpMarkovHistoryBars"":""2600"",""InpRiskPercent"":""1.00"",""InpMarkovMinLabels"":""252"",""InpUseDynamicTrailingSL"":""false"",""InpMarkovSignalGate"":""0.05"",""InpBreakEvenAtR"":""0"",""InpMarkovThreshold"":""0.05"",""InpResearchSession"":""0"",""InpMarkovReturnWindow"":""40"",""InpResearchBrokerUtcOffsetMinutes"":""0"",""InpMagic"":""86500022"",""InpTrailStartAtR"":""1.00"",""InpUseMarkovRegimeFilter"":""false""}",10000.0,12010.5,2010.5,20.11,1.35,50.0,6.37,120,7.4,2.84,98%,1.47,3.71
manage-dynamic5020-be1,management,Development,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\Active Portfolio Full Pipeline 2026-09-05\05 ORB Volume Profile\Backtest Reports\Development\orb-volume-xau-development-manage-dynamic5020-be1.htm,2023.09.01,2025.08.31,1,1.00,"{""InpUseMarkovRegimeFilter"":""false"",""InpMarkovMinLabels"":""252"",""InpMagic"":""86500023"",""InpMarkovThreshold"":""0.05"",""InpMarkovReturnWindow"":""40"",""InpResearchBrokerUtcOffsetMinutes"":""0"",""InpMarkovSignalGate"":""0.05"",""InpResearchSession"":""0"",""InpRiskPercent"":""1.00"",""InpMarkovHistoryBars"":""2600""}",10000.0,13208.96,3208.96,32.09,1.61,55.83,5.56,120,9.47,4.55,98%,2.1,6.23
manage-dynamic5020-no-be,management,Development,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\Active Portfolio Full Pipeline 2026-09-05\05 ORB Volume Profile\Backtest Reports\Development\orb-volume-xau-development-manage-dynamic5020-no-be.htm,2023.09.01,2025.08.31,1,1.00,"{""InpMarkovHistoryBars"":""2600"",""InpRiskPercent"":""1.00"",""InpMarkovMinLabels"":""252"",""InpUseDynamicTrailingSL"":""true"",""InpMarkovSignalGate"":""0.05"",""InpBreakEvenAtR"":""0"",""InpDynamicLockFraction"":""0.20"",""InpMarkovThreshold"":""0.05"",""InpDynamicTriggerFraction"":""0.50"",""InpResearchSession"":""0"",""InpMarkovReturnWindow"":""40"",""InpResearchBrokerUtcOffsetMinutes"":""0"",""InpMagic"":""86500024"",""InpUseMarkovRegimeFilter"":""false""}",10000.0,12973.7,2973.7,29.74,1.49,49.17,5.55,120,8.12,4.27,98%,1.87,5.63
manage-dynamic6020-no-be,management,Development,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\Active Portfolio Full Pipeline 2026-09-05\05 ORB Volume Profile\Backtest Reports\Development\orb-volume-xau-development-manage-dynamic6020-no-be.htm,2023.09.01,2025.08.31,1,1.00,"{""InpMarkovHistoryBars"":""2600"",""InpRiskPercent"":""1.00"",""InpMarkovMinLabels"":""252"",""InpUseDynamicTrailingSL"":""true"",""InpMarkovSignalGate"":""0.05"",""InpBreakEvenAtR"":""0"",""InpDynamicLockFraction"":""0.20"",""InpMarkovThreshold"":""0.05"",""InpDynamicTriggerFraction"":""0.60"",""InpResearchSession"":""0"",""InpMarkovReturnWindow"":""40"",""InpResearchBrokerUtcOffsetMinutes"":""0"",""InpMagic"":""86500025"",""InpUseMarkovRegimeFilter"":""false""}",10000.0,13133.33,3133.33,31.33,1.52,49.17,5.56,120,8.21,4.49,98%,1.96,5.93
manage-dynamic7525-no-be,management,Development,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\Active Portfolio Full Pipeline 2026-09-05\05 ORB Volume Profile\Backtest Reports\Development\orb-volume-xau-development-manage-dynamic7525-no-be.htm,2023.09.01,2025.08.31,1,1.00,"{""InpMarkovHistoryBars"":""2600"",""InpRiskPercent"":""1.00"",""InpMarkovMinLabels"":""252"",""InpUseDynamicTrailingSL"":""true"",""InpMarkovSignalGate"":""0.05"",""InpBreakEvenAtR"":""0"",""InpDynamicLockFraction"":""0.25"",""InpMarkovThreshold"":""0.05"",""InpDynamicTriggerFraction"":""0.75"",""InpResearchSession"":""0"",""InpMarkovReturnWindow"":""40"",""InpResearchBrokerUtcOffsetMinutes"":""0"",""InpMagic"":""86500026"",""InpUseMarkovRegimeFilter"":""false""}",10000.0,13411.57,3411.57,34.12,1.56,49.17,5.84,120,8.61,5.09,98%,2.09,6.17
session-all,session,Development,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\Active Portfolio Full Pipeline 2026-09-05\05 ORB Volume Profile\Backtest Reports\Development\orb-volume-xau-development-session-all.htm,2023.09.01,2025.08.31,1,1.00,"{""InpUseMarkovRegimeFilter"":""false"",""InpMarkovMinLabels"":""252"",""InpMagic"":""86500027"",""InpMarkovThreshold"":""0.05"",""InpMarkovReturnWindow"":""40"",""InpResearchBrokerUtcOffsetMinutes"":""0"",""InpMarkovSignalGate"":""0.05"",""InpResearchSession"":""0"",""InpRiskPercent"":""1.00"",""InpMarkovHistoryBars"":""2600""}",10000.0,13208.96,3208.96,32.09,1.61,55.83,5.56,120,9.47,4.55,98%,2.1,6.23
session-asia,session,Development,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\Active Portfolio Full Pipeline 2026-09-05\05 ORB Volume Profile\Backtest Reports\Development\orb-volume-xau-development-session-asia.htm,2023.09.01,2025.08.31,1,1.00,"{""InpUseMarkovRegimeFilter"":""false"",""InpMarkovMinLabels"":""252"",""InpMagic"":""86500028"",""InpMarkovThreshold"":""0.05"",""InpMarkovReturnWindow"":""40"",""InpResearchBrokerUtcOffsetMinutes"":""0"",""InpMarkovSignalGate"":""0.05"",""InpResearchSession"":""1"",""InpRiskPercent"":""1.00"",""InpMarkovHistoryBars"":""2600""}",10000.0,10000.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,98%,0.0,0.0
session-london,session,Development,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\Active Portfolio Full Pipeline 2026-09-05\05 ORB Volume Profile\Backtest Reports\Development\orb-volume-xau-development-session-london.htm,2023.09.01,2025.08.31,1,1.00,"{""InpUseMarkovRegimeFilter"":""false"",""InpMarkovMinLabels"":""252"",""InpMagic"":""86500029"",""InpMarkovThreshold"":""0.05"",""InpMarkovReturnWindow"":""40"",""InpResearchBrokerUtcOffsetMinutes"":""0"",""InpMarkovSignalGate"":""0.05"",""InpResearchSession"":""2"",""InpRiskPercent"":""1.00"",""InpMarkovHistoryBars"":""2600""}",10000.0,10000.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,98%,0.0,0.0
session-new-york,session,Development,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\Active Portfolio Full Pipeline 2026-09-05\05 ORB Volume Profile\Backtest Reports\Development\orb-volume-xau-development-session-new-york.htm,2023.09.01,2025.08.31,1,1.00,"{""InpUseMarkovRegimeFilter"":""false"",""InpMarkovMinLabels"":""252"",""InpMagic"":""86500030"",""InpMarkovThreshold"":""0.05"",""InpMarkovReturnWindow"":""40"",""InpResearchBrokerUtcOffsetMinutes"":""0"",""InpMarkovSignalGate"":""0.05"",""InpResearchSession"":""3"",""InpRiskPercent"":""1.00"",""InpMarkovHistoryBars"":""2600""}",10000.0,13208.96,3208.96,32.09,1.61,55.83,5.56,120,9.47,4.55,98%,2.1,6.23
session-overlap,session,Development,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\Active Portfolio Full Pipeline 2026-09-05\05 ORB Volume Profile\Backtest Reports\Development\orb-volume-xau-development-session-overlap.htm,2023.09.01,2025.08.31,1,1.00,"{""InpUseMarkovRegimeFilter"":""false"",""InpMarkovMinLabels"":""252"",""InpMagic"":""86500031"",""InpMarkovThreshold"":""0.05"",""InpMarkovReturnWindow"":""40"",""InpResearchBrokerUtcOffsetMinutes"":""0"",""InpMarkovSignalGate"":""0.05"",""InpResearchSession"":""4"",""InpRiskPercent"":""1.00"",""InpMarkovHistoryBars"":""2600""}",10000.0,12965.84,2965.84,29.66,1.59,54.87,6.37,113,9.4,3.71,98%,1.98,4.86
structure-ny0915-or15-m5,structure,Development,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\Active Portfolio Full Pipeline 2026-09-05\05 ORB Volume Profile\Backtest Reports\Development\orb-volume-xau-development-structure-ny0915-or15-m5.htm,2023.09.01,2025.08.31,1,1.00,"{""InpMarkovHistoryBars"":""2600"",""InpRiskPercent"":""1.00"",""InpSignalTimeframe"":""5"",""InpOpeningRangeMinutes"":""15"",""InpMagic"":""86500032"",""InpMarkovSignalGate"":""0.05"",""InpSessionHour"":""9"",""InpMarkovThreshold"":""0.05"",""InpResearchSession"":""0"",""InpMarkovReturnWindow"":""40"",""InpResearchBrokerUtcOffsetMinutes"":""0"",""InpMarkovMinLabels"":""252"",""InpSessionMinute"":""15"",""InpUseMarkovRegimeFilter"":""false""}",10000.0,11907.36,1907.36,19.07,1.16,53.31,18.42,257,3.24,0.94,98%,0.95,0.99
