CaseId,EaId,Label,Symbol,Period,Variant,SessionValue,Dynamic,Stage,From,To,Model,Report,session,period_text,history_quality_pct,bars,ticks,initial_balance,final_balance,net_profit,return_pct,gross_profit,gross_loss,profit_factor,equity_dd_amount,equity_dd_pct,balance_dd_amount,balance_dd_pct,trades,wins,losses,win_rate,commission,swap,score,status,report
engineered-xau__dynamic-only,engineered-xau,Engineered Liquidity XAU,XAUUSD,H1,dynamic-only,0,True,Locked,2025.09.01,2026.08.31,0,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\Dynamic Trailing Session Research 2026-09-01\Backtest Reports\Locked\engineered-xau__dynamic-only.htm,all,H1 (2025.09.01 - 2026.08.31),99.0,5888,100974721,10000.0,12912.66,2912.66,29.126599999999996,8574.98,-5662.32,1.51,1280.6,9.87,1015.87,7.93,80,34,46,42.5,-38.839999999999996,-84.03999999999999,19.261757904960994,valid,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\Dynamic Trailing Session Research 2026-09-01\Backtest Reports\Locked\engineered-xau__dynamic-only.htm
engineered-xau__session-all,engineered-xau,Engineered Liquidity XAU,XAUUSD,H1,session-all,0,False,Locked,2025.09.01,2026.08.31,0,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\Dynamic Trailing Session Research 2026-09-01\Backtest Reports\Locked\engineered-xau__session-all.htm,all,H1 (2025.09.01 - 2026.08.31),99.0,5888,100974721,10000.0,12177.3,2177.3,21.773,8436.48,-6259.18,1.35,1765.94,13.3,1387.63,10.67,80,27,53,33.75,-38.22,-106.71000000000001,6.948627554702028,valid,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\Dynamic Trailing Session Research 2026-09-01\Backtest Reports\Locked\engineered-xau__session-all.htm
engineered-xau__session-all-dynamic,engineered-xau,Engineered Liquidity XAU,XAUUSD,H1,session-all-dynamic,0,True,Locked,2025.09.01,2026.08.31,0,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\Dynamic Trailing Session Research 2026-09-01\Backtest Reports\Locked\engineered-xau__session-all-dynamic.htm,all,H1 (2025.09.01 - 2026.08.31),99.0,5888,100974721,10000.0,12912.66,2912.66,29.126599999999996,8574.98,-5662.32,1.51,1280.6,9.87,1015.87,7.93,80,34,46,42.5,-38.839999999999996,-84.03999999999999,19.261757904960994,valid,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\Dynamic Trailing Session Research 2026-09-01\Backtest Reports\Locked\engineered-xau__session-all-dynamic.htm
fabio-ustec__current,fabio-ustec,US100 Fabio ORB 1R,USTEC,M5,current,0,False,Locked,2025.09.01,2026.08.31,0,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\Dynamic Trailing Session Research 2026-09-01\Backtest Reports\Locked\fabio-ustec__current.htm,all,M5 (2025.09.01 - 2026.08.31),100.0,70506,91082833,10000.0,10634.59,634.59,6.3459,5234.85,-4600.26,1.14,1061.12,9.07,988.16,8.5,160,93,67,58.13,-68.42999999999998,-45.75,-4.205430425561576,valid,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\Dynamic Trailing Session Research 2026-09-01\Backtest Reports\Locked\fabio-ustec__current.htm
fabio-ustec__dynamic-only,fabio-ustec,US100 Fabio ORB 1R,USTEC,M5,dynamic-only,0,True,Locked,2025.09.01,2026.08.31,0,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\Dynamic Trailing Session Research 2026-09-01\Backtest Reports\Locked\fabio-ustec__dynamic-only.htm,all,M5 (2025.09.01 - 2026.08.31),100.0,70506,91082833,10000.0,10459.39,459.39,4.5939,4904.01,-4444.62,1.1,1013.99,8.84,964.68,8.44,160,96,64,60.0,-67.91000000000003,-45.239999999999995,-5.884238921174052,valid,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\Dynamic Trailing Session Research 2026-09-01\Backtest Reports\Locked\fabio-ustec__dynamic-only.htm
fabio-ustec__session-all,fabio-ustec,US100 Fabio ORB 1R,USTEC,M5,session-all,0,False,Locked,2025.09.01,2026.08.31,0,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\Dynamic Trailing Session Research 2026-09-01\Backtest Reports\Locked\fabio-ustec__session-all.htm,all,M5 (2025.09.01 - 2026.08.31),100.0,70506,91082833,10000.0,10634.59,634.59,6.3459,5234.85,-4600.26,1.14,1061.12,9.07,988.16,8.5,160,93,67,58.13,-68.42999999999998,-45.75,-4.205430425561576,valid,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\Dynamic Trailing Session Research 2026-09-01\Backtest Reports\Locked\fabio-ustec__session-all.htm
fabio-ustec__session-all-dynamic,fabio-ustec,US100 Fabio ORB 1R,USTEC,M5,session-all-dynamic,0,True,Locked,2025.09.01,2026.08.31,0,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\Dynamic Trailing Session Research 2026-09-01\Backtest Reports\Locked\fabio-ustec__session-all-dynamic.htm,all,M5 (2025.09.01 - 2026.08.31),100.0,70506,91082833,10000.0,10459.39,459.39,4.5939,4904.01,-4444.62,1.1,1013.99,8.84,964.68,8.44,160,96,64,60.0,-67.91000000000003,-45.239999999999995,-5.884238921174052,valid,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\Dynamic Trailing Session Research 2026-09-01\Backtest Reports\Locked\fabio-ustec__session-all-dynamic.htm
lta-xau__current,lta-xau,LTA Volume Profile,XAUUSD,M15,current,0,False,Locked,2025.09.01,2026.08.31,0,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\Dynamic Trailing Session Research 2026-09-01\Backtest Reports\Locked\lta-xau__current.htm,all,M15 (2025.09.01 - 2026.08.31),99.0,23533,100974721,10000.0,20467.02,10467.02,104.67020000000001,35443.87,-24976.85,1.42,2179.44,14.61,1764.2,12.11,247,82,165,33.2,-169.46999999999997,-141.82000000000002,88.51164122967901,valid,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\Dynamic Trailing Session Research 2026-09-01\Backtest Reports\Locked\lta-xau__current.htm
lta-xau__dynamic-only,lta-xau,LTA Volume Profile,XAUUSD,M15,dynamic-only,0,True,Locked,2025.09.01,2026.08.31,0,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\Dynamic Trailing Session Research 2026-09-01\Backtest Reports\Locked\lta-xau__dynamic-only.htm,all,M15 (2025.09.01 - 2026.08.31),99.0,23533,100974721,10000.0,17230.94,7230.94,72.3094,28217.02,-20986.08,1.34,2228.36,16.2,1974.69,14.55,277,113,164,40.79,-162.6099999999999,-110.89,53.815417683776914,valid,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\Dynamic Trailing Session Research 2026-09-01\Backtest Reports\Locked\lta-xau__dynamic-only.htm
lta-xau__session-overlap,lta-xau,LTA Volume Profile,XAUUSD,M15,session-overlap,4,False,Locked,2025.09.01,2026.08.31,0,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\Dynamic Trailing Session Research 2026-09-01\Backtest Reports\Locked\lta-xau__session-overlap.htm,overlap,M15 (2025.09.01 - 2026.08.31),99.0,23533,100974721,10000.0,11315.42,1315.42,13.154200000000001,10114.68,-8799.26,1.15,1834.45,14.31,1640.18,12.95,113,32,81,28.32,-48.6,-65.49,-3.894728345749046,valid,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\Dynamic Trailing Session Research 2026-09-01\Backtest Reports\Locked\lta-xau__session-overlap.htm
lta-xau__session-overlap-dynamic,lta-xau,LTA Volume Profile,XAUUSD,M15,session-overlap-dynamic,4,True,Locked,2025.09.01,2026.08.31,0,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\Dynamic Trailing Session Research 2026-09-01\Backtest Reports\Locked\lta-xau__session-overlap-dynamic.htm,overlap,M15 (2025.09.01 - 2026.08.31),99.0,23533,100974721,10000.0,10907.76,907.76,9.0776,8601.25,-7693.49,1.12,1596.8,14.01,1542.75,13.58,116,39,77,33.62,-45.44999999999999,-50.53999999999999,-7.7549278881579795,valid,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\Dynamic Trailing Session Research 2026-09-01\Backtest Reports\Locked\lta-xau__session-overlap-dynamic.htm
markov-xau__current,markov-xau,XAU Markov Regime,XAUUSD,D1,current,0,False,Locked,2025.09.01,2026.08.31,0,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\Dynamic Trailing Session Research 2026-09-01\Backtest Reports\Locked\markov-xau__current.htm,all,Daily (2025.09.01 - 2026.08.31),99.0,311,100974721,10000.0,10000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,-17.974393641323946,valid,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\Dynamic Trailing Session Research 2026-09-01\Backtest Reports\Locked\markov-xau__current.htm
markov-xau__dynamic-only,markov-xau,XAU Markov Regime,XAUUSD,D1,dynamic-only,0,True,Locked,2025.09.01,2026.08.31,0,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\Dynamic Trailing Session Research 2026-09-01\Backtest Reports\Locked\markov-xau__dynamic-only.htm,all,Daily (2025.09.01 - 2026.08.31),99.0,311,100974721,10000.0,10000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,-17.974393641323946,valid,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\Dynamic Trailing Session Research 2026-09-01\Backtest Reports\Locked\markov-xau__dynamic-only.htm
markov-xau__session-all,markov-xau,XAU Markov Regime,XAUUSD,D1,session-all,0,False,Locked,2025.09.01,2026.08.31,0,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\Dynamic Trailing Session Research 2026-09-01\Backtest Reports\Locked\markov-xau__session-all.htm,all,Daily (2025.09.01 - 2026.08.31),99.0,311,100974721,10000.0,10000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,-17.974393641323946,valid,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\Dynamic Trailing Session Research 2026-09-01\Backtest Reports\Locked\markov-xau__session-all.htm
markov-xau__session-all-dynamic,markov-xau,XAU Markov Regime,XAUUSD,D1,session-all-dynamic,0,True,Locked,2025.09.01,2026.08.31,0,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\Dynamic Trailing Session Research 2026-09-01\Backtest Reports\Locked\markov-xau__session-all-dynamic.htm,all,Daily (2025.09.01 - 2026.08.31),99.0,311,100974721,10000.0,10000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,-17.974393641323946,valid,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\Dynamic Trailing Session Research 2026-09-01\Backtest Reports\Locked\markov-xau__session-all-dynamic.htm
momentum-ustec__current,momentum-ustec,Nasdaq 5M Candle Momentum,USTEC,M5,current,0,False,Locked,2025.09.01,2026.08.31,0,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\Dynamic Trailing Session Research 2026-09-01\Backtest Reports\Locked\momentum-ustec__current.htm,all,M5 (2025.09.01 - 2026.08.31),100.0,70506,91082833,10000.0,12891.09,2891.09,28.9109,20347.01,-17455.92,1.17,1936.35,13.38,1685.77,11.89,256,104,152,40.62,-186.08999999999995,-165.46000000000004,13.127922492857989,valid,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\Dynamic Trailing Session Research 2026-09-01\Backtest Reports\Locked\momentum-ustec__current.htm
momentum-ustec__dynamic-only,momentum-ustec,Nasdaq 5M Candle Momentum,USTEC,M5,dynamic-only,0,True,Locked,2025.09.01,2026.08.31,0,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\Dynamic Trailing Session Research 2026-09-01\Backtest Reports\Locked\momentum-ustec__dynamic-only.htm,all,M5 (2025.09.01 - 2026.08.31),100.0,70506,91082833,10000.0,12801.08,2801.08,28.010799999999996,16718.81,-13917.73,1.2,1727.16,12.29,1520.36,10.96,257,140,117,54.47,-185.55999999999997,-78.77,13.742229340763725,valid,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\Dynamic Trailing Session Research 2026-09-01\Backtest Reports\Locked\momentum-ustec__dynamic-only.htm
momentum-ustec__session-all,momentum-ustec,Nasdaq 5M Candle Momentum,USTEC,M5,session-all,0,False,Locked,2025.09.01,2026.08.31,0,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\Dynamic Trailing Session Research 2026-09-01\Backtest Reports\Locked\momentum-ustec__session-all.htm,all,M5 (2025.09.01 - 2026.08.31),100.0,70506,91082833,10000.0,12891.09,2891.09,28.9109,20347.01,-17455.92,1.17,1936.35,13.38,1685.77,11.89,256,104,152,40.62,-186.08999999999995,-165.46000000000004,13.127922492857989,valid,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\Dynamic Trailing Session Research 2026-09-01\Backtest Reports\Locked\momentum-ustec__session-all.htm
